#"temperature_average" "density_average" "mass_flow_average:0" "mass_flow_average:1" "Points:0" "Points:1"
0.85822 1.1708 0.0045762 -0.0013597 16 7
0.87348 1.1504 0.0047628 -0.0010708 17 7
0.88928 1.1301 0.004929 -0.00079005 18 7
0.90557 1.1098 0.0050734 -0.000519 19 7
0.92227 1.0898 0.005195 -0.00025861 20 7
0.93932 1.0701 0.0052931 -9.4929e-06 21 7
0.95665 1.0508 0.0053675 0.0002278 22 7
0.97419 1.032 0.0054179 0.00045287 23 7
0.99186 1.0136 0.0054444 0.00066537 24 7
1.0096 0.99591 0.0054475 0.00086536 25 7
1.0274 0.97879 0.0054269 0.0010529 26 7
1.045 0.96232 0.0053828 0.0012285 27 7
1.0625 0.94653 0.0053159 0.0013933 28 7
1.0799 0.93144 0.0052276 0.0015472 29 7
1.0969 0.91705 0.0051184 0.0016906 30 7
1.1136 0.90339 0.0049891 0.0018234 31 7
1.1298 0.89046 0.0048402 0.0019463 32 7
1.1456 0.87827 0.0046728 0.0020597 33 7
1.1608 0.86681 0.0044879 0.002164 34 7
1.1755 0.85608 0.0042866 0.0022596 35 7
1.1894 0.84608 0.0040699 0.002347 36 7
1.2027 0.83681 0.0038389 0.0024264 37 7
1.2152 0.82827 0.0035944 0.0024983 38 7
1.2268 0.82043 0.0033376 0.0025628 39 7
1.2376 0.81331 0.0030698 0.0026205 40 7
1.2476 0.80689 0.0027921 0.0026715 41 7
1.2565 0.80116 0.0025057 0.0027162 42 7
1.2645 0.79613 0.0022114 0.0027551 43 7
1.2715 0.79178 0.0019097 0.0027886 44 7
1.2775 0.7881 0.001601 0.0028172 45 7
1.2824 0.78511 0.0012855 0.0028411 46 7
1.2862 0.78278 0.00096571 0.0028605 47 7
1.289 0.78111 0.00064485 0.0028755 48 7
1.2907 0.7801 0.0003389 0.0028861 49 7
1.2912 0.77977 0.0001935 0.0028902 50 7
0.74756 1.3436 0.00021212 -0.0048157 0 8
0.74808 1.3426 0.00029224 -0.0048174 1 8
0.74965 1.3398 0.00050438 -0.0047944 2 8
0.75223 1.3352 0.00076395 -0.0047275 3 8
0.75582 1.3289 0.001018 -0.0046267 4 8
0.7604 1.3209 0.0012681 -0.0044922 5 8
0.76597 1.3113 0.0015128 -0.0043242 6 8
0.77249 1.3003 0.0017531 -0.0041252 7 8
0.77996 1.2878 0.0019904 -0.0038983 8 8
0.78833 1.2742 0.0022249 -0.0036476 9 8
